year,grade
2017,0
2017,2
2017,1
2017,5
2017,5
2017,10
2017,8
2017,7
2017,0
2017,3
2017,7
2017,2
2017,5
2017,3
2017,9
2017,3
2017,3
2017,2
2017,7
2017,2
2017,7
2017,5
2017,0
2017,5
2017,2
2017,6
2017,5
2017,5
2017,2
2017,2
2017,3
2017,0
2017,5
2017,5
2017,5
2017,2
2017,9
2017,8
2017,4
2017,5
2017,0
2017,3
2017,0
2017,7
2017,8
2017,2
2017,7
2017,2
2017,3
2017,7
2017,9
2017,5
2017,10
2017,6
2017,4
2017,2
2017,0
2017,7
2017,5
2017,2
2017,2
2017,5
2017,5
2017,8
2017,5
2017,2
2017,2
2017,4
2017,3
2017,5
2017,3
2017,8
2017,3
2017,4
2017,5
2017,4
2017,4
2017,6
2017,7
2017,6
2017,6
2017,4
2017,1
2017,5
2017,7
2017,4
2017,5
2017,5
2017,5
2017,7
2017,1
2017,5
2017,5
2017,7
2017,6
2017,7
2017,4
2017,7
2017,5
2017,4
2017,7
2017,6
2017,6
2017,5
2017,7
2017,0
2017,9
2017,5
2017,6
2017,1
2017,5
2017,6
2017,8
2017,5
2017,8
2017,5
2017,1
2017,7
2017,3
2017,5
2017,5
2017,3
2017,5
2017,3
2017,5
2017,7
2017,5
2017,5
2017,1
2017,5
2017,5
2017,4
2017,3
2017,3
2017,6
2017,7
2017,7
2017,5
2017,7
2017,5
2017,10
2017,5
2017,8
2017,4
2017,3
2017,2
2017,5
2017,1
2017,5
2017,5
2017,0
2017,7
2017,7
2017,2
2017,3
2017,5
2017,4
2017,9
2017,3
2017,5
2017,4
2017,5
2017,8
2017,6
2017,4
2017,7
2017,2
2017,6
2017,3
2017,1
2017,5
2017,3
2017,6
2017,5
2017,8
2017,0
2017,5
2017,4
2017,5
2017,8
2017,7
2017,6
2017,8
2017,10
2017,7
2017,7
2017,7
2017,5
2017,5
2017,2
2017,4
2017,5
2017,2
2017,0
2017,2
2017,5
2017,6
2017,5
2017,8
2017,2
2017,1
2017,4
2017,7
2017,5
2017,3
2017,7
2017,3
2017,8
2017,7
2017,7
2017,8
2017,5
2017,10
2017,7
2017,6
2017,2
2017,3
2017,5
2017,5
2017,5
2017,3
2017,0
2017,6
2017,6
2017,5
2017,7
2017,6
2017,5
2017,5
2017,4
2017,5
2017,6
2017,5
2017,2
2017,8
2017,3
2017,7
2017,5
2017,5
2017,4
2017,5
2017,7
2017,2
2017,8
2017,7
2017,8
2017,7
2017,8
2017,5
2017,5
2017,8
2017,4
2017,5
2017,6
2017,10
2017,5
2017,5
2017,7
2017,7
2017,1
2017,10
2017,5
2017,5
2017,8
2017,0
2017,5
2017,9
2017,9
2017,5
2017,8
2017,5
2017,5
2017,7
2017,6
2017,4
2017,6
2017,8
2017,6
2017,5
2017,3
2017,7
2017,6
2017,6
2017,8
2017,5
2017,5
2017,7
2017,9
2017,3
2017,8
2017,7
2017,5
2017,7
2017,4
2017,2
2017,5
2017,8
2017,8
2017,5
2017,6
2017,4
2017,3
2017,7
2017,4
2017,7
2017,7
2017,9
2017,8
2017,7
2017,3
2017,7
2017,7
2017,10
2017,5
2017,1
2017,8
2017,10
2017,9
2017,2
2017,1
2017,5
2017,3
2017,5
2017,6
2017,8
2017,4
2017,3
2017,5
2017,7
2017,7
2017,5
2017,6
2017,8
2017,3
2017,5
2017,3
2017,7
2017,5
2017,8
2017,5
2017,7
2017,6
2017,2
2017,10
2017,8
2017,0
2017,3
2017,8
2017,5
2017,4
2017,0
2017,3
2017,4
2017,7
2017,8
2017,8
2017,6
2017,7
2017,8
2017,5
2017,8
2017,7
2017,7
2017,4
2017,8
2017,2
2017,3
2017,0
2017,3
2017,5
2017,3
2017,6
2017,0
2017,8
2017,1
2017,6
2017,5
2017,1
2017,3
2017,2
2017,8
2017,6
2017,8
2017,8
2017,5
2017,9
2017,0
2017,8
2017,8
2017,7
2017,2
2017,10
2017,0
2017,5
2017,10
2017,6
2017,6
2017,7
2017,10
2017,8
2017,6
2017,5
2017,8
2017,7
2017,8
2017,3
2017,7
2017,5
2017,3
2017,8
2017,3
2017,4
2017,5
2017,3
2017,10
2017,7
2017,5
2017,5
2017,8
2017,5
2017,9
2017,8
2017,5
2017,0
2017,6
2017,6
2017,5
2017,7
2017,8
2017,2
2017,6
2017,6
2017,4
2017,1
2017,8
2017,2
2017,9
2017,5
2017,7
2017,5
2017,9
2017,7
2017,9
2017,5
2017,7
2017,4
2017,6
2017,3
2017,6
2017,10
2017,4
2017,6
2017,5
2017,6
2017,10
2017,2
2017,6
2017,4
2017,6
2017,5
2017,8
2017,7
2017,6
2017,5
2017,9
2017,7
2017,5
2017,8
2017,6
2017,5
2017,10
2017,4
2017,8
2017,5
2017,3
2017,7
2017,6
2017,8
2017,5
2017,7
2017,5
2017,8
2017,7
2017,7
2017,8
2017,8
2017,4
2017,2
2017,7
2017,7
2017,5
2017,3
2017,5
2017,3
2017,7
2017,5
2017,4
2017,6
2017,0
2017,4
2017,3
2017,1
2017,5
2017,3
2017,8
2017,5
2017,6
2017,9
2017,2
2017,5
2017,5
2017,7
2017,0
2017,6
2017,6
2017,9
2017,5
2017,4
2017,0
2017,7
2017,5
2017,3
2017,7
2017,5
2017,7
2017,7
2017,4
2017,7
2017,7
2017,6
2017,7
2017,5
2017,4
2017,8
2017,4
2017,5
2017,6
2017,6
2017,8
2017,5
2017,7
2017,8
2017,7
2017,7
2017,4
2017,8
2017,0
2017,5
2017,3
2017,0
2017,0
2017,3
2017,4
2017,0
2017,3
2017,5
2017,4
2017,3
2017,2
2017,8
2017,2
2017,4
2017,0
2017,5
2017,7
2017,2
2017,6
2017,5
2017,6
2017,5
2017,7
2017,1
2017,5
2017,5
2017,3
2017,5
2017,10
2017,4
2017,2
2017,5
2017,4
2017,8
2017,2
2017,5
2017,0
2017,3
2017,7
2017,0
2017,3
2017,9
2017,2
2017,6
2017,0
2017,3
2017,0
2017,8
2017,9
2017,4
2017,7
2017,3
2017,7
2017,5
2017,3
2017,5
2017,3
2017,7
2017,3
2017,3
2017,5
2017,5
2017,3
2017,8
2017,5
2017,5
2017,8
2017,5
2017,3
2017,6
2017,5
2017,5
2017,3
2017,0
2017,5
2017,5
2017,8
2017,5
2017,5
2017,2
2017,7
2017,4
2017,7
2017,6
2017,6
2017,0
2017,5
2017,5
2017,4
2017,6
2017,5
2017,0
2017,6
2017,4
2017,4
2018,6
2018,3
2018,1
2018,8
2018,5
2018,8
2018,4
2018,8
2018,0
2018,1
2018,3
2018,0
2018,6
2018,0
2018,0
2018,4
2018,10
2018,3
2018,0
2018,5
2018,1
2018,5
2018,5
2018,2
2018,6
2018,4
2018,5
2018,2
2018,6
2018,7
2018,4
2018,7
2018,6
2018,6
2018,1
2018,4
2018,5
2018,7
2018,2
2018,8
2018,0
2018,3
2018,9
2018,8
2018,5
2018,5
2018,1
2018,6
2018,9
2018,3
2018,5
2018,5
2018,5
2018,5
2018,7
2018,4
2018,4
2018,2
2018,2
2018,5
2018,2
2018,0
2018,4
2018,5
2018,9
2018,5
2018,5
2018,6
2018,6
2018,8
2018,5
2018,0
2018,5
2018,7
2018,2
2018,7
2018,2
2018,3
2018,7
2018,5
2018,1
2018,0
2018,6
2018,5
2018,0
2018,6
2018,10
2018,0
2018,5
2018,5
2018,1
2018,4
2018,9
2018,2
2018,5
2018,8
2018,4
2018,6
2018,5
2018,5
2018,3
2018,7
2018,8
2018,8
2018,2
2018,3
2018,6
2018,8
2018,5
2018,6
2018,7
2018,8
2018,5
2018,0
2018,8
2018,5
2018,7
2018,9
2018,3
2018,5
2018,5
2018,6
2018,4
2018,8
2018,9
2018,1
2018,0
2018,5
2018,5
2018,7
2018,5
2018,5
2018,7
2018,5
2018,10
2018,8
2018,6
2018,5
2018,4
2018,0
2018,7
2018,7
2018,7
2018,6
2018,4
2018,5
2018,3
2018,5
2018,7
2018,10
2018,5
2018,4
2018,5
2018,5
2018,7
2018,5
2018,7
2018,3
2018,2
2018,7
2018,5
2018,5
2018,5
2018,6
2018,10
2018,7
2018,6
2018,5
2018,6
2018,7
2018,6
2018,3
2018,3
2018,7
2018,7
2018,2
2018,3
2018,2
2018,7
2018,5
2018,8
2018,4
2018,1
2018,10
2018,0
2018,5
2018,5
2018,0
2018,3
2018,3
2018,5
2018,3
2018,2
2018,0
2018,6
2018,6
2018,8
2018,0
2018,2
2018,7
2018,3
2018,2
2018,4
2018,6
2018,0
2018,3
2018,5
2018,6
2018,4
2018,6
2018,8
2018,8
2018,8
2018,2
2018,6
2018,0
2018,6
2018,5
2018,8
2018,3
2018,5
2018,5
2018,5
2018,5
2018,5
2018,3
2018,5
2018,4
2018,5
2018,7
2018,7
2018,6
2018,1
2018,3
2018,4
2018,7
2018,5
2018,3
2018,5
2018,3
2018,2
2018,6
2018,5
2018,7
2018,4
2018,10
2018,4
2018,7
2018,5
2018,7
2018,8
2018,10
2018,3
2018,7
2018,8
2018,5
2018,8
2018,9
2018,4
2018,6
2018,4
2018,5
2018,9
2018,5
2018,5
2018,7
2018,3
2018,0
2018,1
2018,2
2018,8
2018,0
2018,7
2018,10
2018,5
2018,10
2018,6
2018,4
2018,6
2018,7
2018,1
2018,0
2018,1
2018,5
2018,8
2018,7
2018,9
2018,5
2018,3
2018,5
2018,5
2018,0
2018,5
2018,3
2018,4
2018,6
2018,7
2018,2
2018,6
2018,9
2018,8
2018,10
2018,2
2018,0
2018,6
2018,5
2018,5
2018,7
2018,0
2018,8
2018,5
2018,3
2018,2
2018,4
2018,4
2018,8
2018,4
2018,7
2018,5
2018,5
2018,3
2018,3
2018,2
2018,4
2018,8
2018,7
2018,8
2018,6
2018,7
2018,0
2018,3
2018,1
2018,4
2018,2
2018,5
2018,7
2018,3
2018,3
2018,6
2018,2
2018,3
2018,1
2018,8
2018,7
2018,6
2018,7
2018,4
2018,7
2018,0
2018,8
2018,2
2018,0
2018,0
2018,2
2018,5
2018,5
2018,2
2018,5
2018,5
2018,0
2018,5
2019,5
2019,7
2019,4
2019,3
2019,4
2019,5
2019,5
2019,7
2019,8
2019,5
2019,7
2019,5
2019,7
2019,2
2019,9
2019,6
2019,6
2019,7
2019,10
2019,5
2019,3
2019,1
2019,9
2019,0
2019,6
2019,7
2019,7
2019,5
2019,7
2019,6
2019,7
2019,4
2019,5
2019,7
2019,6
2019,6
2019,0
2019,7
2019,3
2019,10
2019,9
2019,2
2019,7
2019,3
2019,3
2019,1
2019,7
2019,5
2019,2
2019,0
2019,3
2019,2
2019,5
2019,0
2019,4
2019,6
2019,5
2019,5
2019,9
2019,7
2019,7
2019,5
2019,8
2019,3
2019,3
2019,5
2019,8
2019,7
2019,4
2019,3
2019,5
2019,7
2019,5
2019,4
2019,8
2019,5
2019,3
2019,5
2019,5
2019,7
2019,7
2019,8
2019,4
2019,3
2019,8
2019,7
2019,1
2019,10
2019,5
2019,0
2019,7
2019,5
2019,2
2019,5
2019,8
2019,3
2019,5
2019,8
2019,6
2019,7
2019,5
2019,1
2019,6
2019,7
2019,0
2019,5
2019,1
2019,3
2019,5
2019,3
2019,9
2019,4
2019,2
2019,0
2019,7
2019,5
2019,5
2019,5
2019,6
2019,5
2019,2
2019,7
2019,1
2019,5
2019,1
2019,5
2019,9
2019,8
2019,0
2019,0
2019,8
2019,8
2019,4
2019,6
2019,8
2019,5
